Code;Libellé;Nb de pers. âgées de 65 ans ou + 2020;Taux d'emploi des femmes de 25-54 ans 2020;Taux d'emploi des hommes de 25-54 ans 2020;Part des pers., dont le diplôme le plus élevé est le bepc ou le brevet, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des locataires HLM dans les rés. principales 2020;Part des pers. âgées de 25 à 64 ans 2020;Part des pers. âgées de 65 ans ou + 2020;Créations d'entreprises (en nombre) 2022
01001;L'Abergement-Clémenciat;158;88.4;95.1;5.2;13.7;9.7;6.4;3.9;53.4;19.6;17
01002;L'Abergement-de-Varey;44;94.7;98.5;2.9;15.9;15.2;13.2;0;51.5;16.8;3
01004;Ambérieu-en-Bugey;2585;71.1;87.7;6.3;12.8;7.6;7;22.2;50.3;18.1;218
01005;Ambérieux-en-Dombes;288;86.4;94.2;5.5;14.1;7.9;6.6;9.2;54.9;16.2;32
01006;Ambléon;32;88.2;78.3;7.9;11.9;10.9;5.9;1.8;56.1;28.1;2
01007;Ambronay;466;84.6;91.4;4.4;14.2;8.8;7.3;9.1;52.7;16.5;19
01008;Ambutrix;105;89.8;92.4;4.2;15.7;7.5;6.8;5;57.8;13.7;9
01009;Andert-et-Condon;92;77.2;94.6;7.3;12.4;9.3;8.5;0;46.8;28.5;0
01010;Anglefort;183;80.7;88.7;5.8;9.5;5.8;3.5;8.6;52.7;16.6;16
01011;Apremont;67;86.8;89.5;3.7;14.3;11;5.9;7.1;52.7;18.1;2
01012;Aranc;85;88.7;84.4;5.3;13.4;8.5;4.1;5.4;47.2;26;2
01013;Arandas;29;92.3;86.2;6.5;8.3;5.6;1.9;3.2;52.1;20.1;0
01014;Arbent;701;73.2;86.2;5;9;6;3.3;26.5;50.9;21;47
01015;Arboys en Bugey;169;76.9;92.8;4.7;12.2;9.1;7.2;0.7;49.5;25.4;10
01016;Arbigny;98;89;91.9;6.3;12.9;7.5;2.1;1.6;48.9;21.4;5
01017;Argis;103;74.2;86;9.2;13.9;5.4;3.7;1.1;48.7;23.1;4
01019;Armix;8;100;75;4.3;4.3;0;0;0;50;30.8;0
01021;Ars-sur-Formans;243;80.9;89.3;4.9;15;10.9;7.6;5.5;52.8;16.3;15
01022;Artemare;325;84.9;88.6;5.2;10.1;7.2;4.1;12.4;46.7;26.8;19
01023;Asnières-sur-Saône;14;86.7;78.6;5.4;10.7;5.4;7.1;0;55.3;18.4;0
01024;Attignat;573;92;93.5;4.6;13.6;8.3;4.4;6.2;51.7;17.4;39
01025;Bâgé-Dommartin;666;89;93.3;4.4;14.1;7.9;5.2;3.9;52.6;16.4;40
01026;Bâgé-le-Châtel;248;83.6;92.9;4.2;9.1;6.8;4.1;9.6;48.1;25.4;9
01027;Balan;248;86.4;94.9;8.7;12.2;5.8;5.5;7.8;49.5;9.4;26
01028;Baneins;108;89.2;96.2;3.5;10.1;8.1;4.8;1.2;50.2;17.3;11
01029;Beaupont;121;65.6;78.3;6.1;7.6;4;2.1;7.3;56.7;17.7;7
01030;Beauregard;128;80.4;90.1;5.8;9.3;7.2;7.2;20.1;54;15.6;11
01031;Bellignat;615;68.3;80.1;4.6;8.9;6.8;3.5;40.1;51;16.8;39
01032;Béligneux;456;78.3;93.9;6.8;12.2;7.8;7.2;20.2;50.7;13.3;40
01033;Valserhône;2675;69.5;82.5;5.7;10.1;7;6.6;26.4;52.8;16.3;205
01034;Belley;2404;74.6;83.4;6.3;10.1;7.7;6.9;21.7;46.2;26.1;118
01035;Belleydoux;58;87.5;95.2;5;13.2;12;10.7;3.4;58.1;18.8;3
01036;Valromey-sur-Séran;363;86.6;90.9;5.4;13.7;12.2;9.9;4.1;49.1;27.2;14
01037;Bénonces;62;77.2;93.4;5.7;12.1;9.6;7.5;0;54.3;20.2;2
01038;Bény;163;91.2;95.8;3.4;15;7.9;6.3;5.9;49.6;21.5;10
01040;Béréziat;73;92.6;93.8;4;11.6;8.1;1.7;0;53.3;15.2;6
01041;Bettant;130;86.3;89.7;6.3;11.4;8.2;5.5;5.1;55.2;17.4;8
01042;Bey;48;88;94.9;3.9;12.7;9.1;7.2;8.1;54.4;16.5;3
01043;Beynost;884;87.7;92.3;5.5;14.5;11;17.1;5.4;50.7;18.3;93
